Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kyle Anderson,PF,30,MIN,44,2,22.6,2.5,5.3,.466,0.1,0.7,.172,2.4,4.7,.507,.476,1.4,2.0,.698,0.7,2.9,3.5,4.0,0.8,0.6,1.3,1.6,6.4
Giannis Antetokounmpo,PF,29,MIL,42,42,35.2,11.6,19.2,.605,0.4,1.8,.240,11.2,17.5,.643,.616,7.5,11.3,.669,2.7,9.0,11.7,6.2,1.3,1.1,3.6,2.9,31.3
Thanasis Antetokounmpo,PF,31,MIL,18,0,4.1,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.0,0.0,,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.8,0.8
Cole Anthony,PG,23,ORL,43,0,24.2,4.4,10.2,.432,1.2,3.6,.331,3.2,6.7,.486,.490,3.0,3.5,.836,1.0,3.1,4.2,3.2,0.8,0.5,1.9,2.6,13.0
OG Anunoby,SF,26,TOT,39,39,34.3,5.6,11.4,.493,2.1,5.5,.380,3.6,6.0,.597,.584,1.6,1.9,.803,1.0,3.3,4.3,2.3,1.2,0.7,1.5,2.4,14.9
OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
OG Anunoby,SF,26,NYK,12,12,36.5,5.3,10.4,.504,1.7,4.2,.400,3.6,6.3,.573,.584,2.3,2.5,.933,1.3,3.9,5.2,1.3,1.4,1.3,1.4,2.5,14.5
Ryan Arcidiacono,PG,29,NYK,16,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.3,0.1,0.0,0.0,0.3,0.0
Deni Avdija,SF,23,WAS,43,43,27.5,4.6,9.3,.500,1.0,2.7,.368,3.6,6.5,.555,.554,2.2,2.9,.768,1.0,5.2,6.2,3.9,0.9,0.4,1.7,2.5,12.5
Deandre Ayton,C,25,POR,28,28,31.4,5.8,10.8,.535,0.0,0.0,,5.8,10.8,.535,.535,1.1,1.4,.775,3.3,7.2,10.5,1.6,1.0,0.7,2.0,2.4,12.7
Udoka Azubuike,C,24,PHO,11,0,8.3,1.4,1.7,.789,0.0,0.0,,1.4,1.7,.789,.789,0.3,0.8,.333,0.8,1.5,2.3,0.3,0.0,0.5,0.4,1.5,3.0
Ibou Badji,C,21,POR,12,1,13.6,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.3,0.5,.500,1.5,2.2,3.7,0.7,0.2,1.4,0.8,2.7,1.8
Marvin Bagley III,C,24,TOT,30,12,19.9,4.6,7.8,.588,0.1,0.3,.222,4.5,7.5,.603,.592,2.0,2.7,.744,2.3,3.1,5.4,1.1,0.3,0.6,1.2,1.8,11.2
Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2
Marvin Bagley III,C,24,WAS,4,2,29.5,7.5,13.0,.577,0.3,0.8,.333,7.3,12.3,.592,.587,2.8,5.3,.524,6.0,5.3,11.3,1.3,1.0,0.8,1.5,3.5,18.0
Amari Bailey,PG,19,CHO,2,0,5.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.5,1.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.5
Patrick Baldwin Jr.,SF,21,WAS,14,0,7.4,1.0,2.2,.452,0.6,1.2,.529,0.4,1.0,.357,.597,0.5,0.7,.700,0.4,1.7,2.1,0.4,0.1,0.2,0.4,1.2,3.1
LaMelo Ball,PG,22,CHO,21,21,32.8,8.4,19.4,.435,3.2,9.0,.362,5.2,10.4,.498,.518,4.2,4.9,.873,1.4,3.9,5.3,8.0,1.8,0.2,3.8,3.6,24.3
Mo Bamba,C,25,PHI,24,0,9.0,1.6,3.0,.549,0.4,0.8,.556,1.2,2.2,.547,.620,0.6,0.9,.667,1.4,1.7,3.0,0.5,0.4,0.8,0.6,1.2,4.3
Paolo Banchero,PF,21,ORL,44,44,34.8,8.0,17.8,.450,1.4,4.0,.354,6.6,13.8,.478,.490,5.1,7.3,.697,1.2,5.9,7.0,4.8,1.0,0.6,3.2,2.1,22.5
Desmond Bane,SG,25,MEM,37,37,34.5,8.9,18.8,.474,3.3,8.6,.384,5.6,10.2,.551,.563,3.3,3.8,.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4
Dalano Banton,PG,24,BOS,20,1,7.2,0.9,2.1,.429,0.1,0.6,.167,0.8,1.5,.533,.452,0.7,0.9,.778,0.6,1.1,1.7,0.6,0.2,0.2,0.5,1.0,2.6
Dominick Barlow,PF,20,SAS,19,1,12.8,1.6,3.6,.456,0.2,0.4,.429,1.5,3.2,.459,.478,0.7,1.2,.591,1.2,2.2,3.4,1.1,0.4,0.5,0.2,1.3,4.1
Harrison Barnes,PF,31,SAC,42,42,29.1,3.7,7.9,.476,1.7,4.4,.399,2.0,3.5,.571,.586,1.9,2.3,.821,0.9,2.0,2.8,1.2,0.7,0.1,0.7,1.3,11.1
Scottie Barnes,SG,22,TOR,44,44,35.2,7.6,15.8,.480,2.0,5.5,.367,5.6,10.3,.540,.543,3.0,4.0,.753,2.3,6.1,8.4,5.7,1.3,1.6,2.7,2.1,20.2
RJ Barrett,SG,23,TOT,38,38,30.7,6.8,14.7,.464,1.6,4.7,.343,5.2,10.1,.521,.519,3.8,4.9,.774,0.8,4.4,5.2,2.7,0.5,0.4,1.8,2.2,19.1
RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
RJ Barrett,SG,23,TOR,12,12,33.4,8.0,14.3,.558,1.5,4.0,.375,6.5,10.3,.629,.610,3.4,5.2,.661,1.0,6.2,7.2,3.4,0.6,0.4,1.7,3.1,20.9
Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,.240,0.5,2.0,.250,0.1,0.5,.200,.340,0.1,0.2,.500,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8
Keita Bates-Diop,SF,28,PHO,33,8,15.9,1.7,4.1,.410,0.5,1.7,.281,1.2,2.3,.506,.470,0.8,1.0,.735,0.8,1.8,2.6,0.9,0.6,0.5,0.2,1.0,4.6
Nicolas Batum,PF,35,TOT,31,24,25.0,2.1,4.0,.524,1.3,2.9,.456,0.8,1.1,.706,.690,0.3,0.5,.643,1.3,2.6,3.9,2.4,0.7,0.8,0.6,2.0,5.8
Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,28,24,25.7,2.2,4.1,.534,1.4,3.0,.470,0.8,1.2,.697,.703,0.3,0.5,.643,1.4,2.6,4.0,2.5,0.7,0.8,0.6,2.0,6.1
Bradley Beal,SG,30,PHO,20,20,32.5,7.2,14.0,.513,1.6,4.0,.392,5.6,10.0,.560,.568,2.3,3.0,.763,0.8,3.5,4.3,4.2,0.8,0.4,2.1,2.7,18.1
Malik Beasley,SG,27,MIL,42,42,29.4,4.2,8.6,.488,2.9,6.2,.471,1.3,2.5,.529,.656,0.3,0.4,.750,0.6,3.4,4.0,1.4,0.7,0.1,0.7,2.1,11.6
MarJon Beauchamp,SF,23,MIL,34,1,15.7,1.9,4.0,.474,0.7,1.8,.403,1.1,2.1,.534,.567,0.4,0.6,.600,0.6,1.9,2.5,0.9,0.3,0.2,0.7,1.4,4.9
Jules Bernard,SG,24,WAS,3,0,5.0,0.3,2.7,.125,0.0,2.0,.000,0.3,0.7,.500,.125,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.3,1.0,0.7
Dāvis Bertāns,PF,31,OKC,14,0,6.5,0.7,1.9,.385,0.7,1.7,.417,0.0,0.1,.000,.577,1.0,1.1,.933,0.1,0.6,0.7,0.6,0.2,0.2,0.1,0.7,3.1
Patrick Beverley,PG,35,PHI,39,1,18.5,1.9,4.5,.423,0.7,2.2,.314,1.2,2.3,.528,.500,0.9,1.2,.761,0.7,2.4,3.1,2.6,0.5,0.3,0.8,1.7,5.4
Saddiq Bey,SF,24,ATL,44,32,32.3,4.3,10.5,.413,1.8,5.6,.316,2.6,4.9,.523,.497,2.3,2.7,.825,2.5,4.0,6.4,1.4,1.0,0.1,0.9,1.6,12.7
Goga Bitadze,C,24,ORL,39,31,20.7,2.8,4.6,.615,0.1,0.3,.200,2.8,4.3,.639,.620,1.2,1.7,.676,2.5,3.9,6.4,1.7,0.7,1.6,0.8,2.4,6.9
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2
Anthony Black,PG,20,ORL,41,29,19.2,1.9,3.9,.491,0.5,1.4,.351,1.4,2.5,.567,.553,0.8,1.2,.627,0.5,1.8,2.4,1.7,0.6,0.4,1.0,2.0,5.1
Leaky Black,SF,24,CHO,13,0,5.2,0.7,1.1,.643,0.2,0.4,.600,0.5,0.7,.667,.750,0.2,0.3,.500,0.2,0.7,0.9,0.4,0.2,0.3,0.2,0.2,1.8
Bogdan Bogdanović,SG,31,ATL,42,5,28.3,6.0,14.0,.427,3.1,8.4,.364,2.9,5.5,.522,.537,1.8,2.0,.905,0.5,2.6,3.1,2.6,1.3,0.2,1.1,2.4,16.8
Bojan Bogdanović,PF,34,DET,23,22,33.1,7.2,15.4,.469,3.0,7.3,.417,4.2,8.1,.516,.568,2.7,3.6,.747,0.6,3.0,3.6,2.7,0.9,0.1,2.2,2.3,20.2
Bol Bol,PF,24,PHO,12,0,7.2,1.4,1.9,.739,0.3,0.4,.600,1.2,1.5,.778,.804,0.3,0.4,.800,0.8,1.5,2.3,0.5,0.3,0.5,0.5,0.8,3.4
Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
Devin Booker,PG,27,PHO,35,35,36.1,9.5,19.1,.494,2.2,5.8,.381,7.3,13.4,.543,.551,6.1,6.9,.881,0.7,4.2,4.9,7.5,0.9,0.3,2.7,3.0,27.2
Brandon Boston Jr.,SF,22,LAC,8,0,7.4,1.6,4.0,.406,0.5,1.8,.286,1.1,2.3,.500,.469,0.8,0.8,1.000,0.4,0.6,1.0,0.5,0.1,0.0,0.4,1.3,4.5
Chris Boucher,PF,31,TOR,41,0,14.2,2.1,4.4,.470,0.7,2.0,.333,1.4,2.4,.580,.544,1.3,1.8,.750,1.2,2.9,4.0,0.4,0.3,0.5,0.5,1.4,6.1
James Bouknight,SG,23,CHO,10,0,6.4,1.4,3.0,.467,1.1,2.2,.500,0.3,0.8,.375,.650,0.1,0.2,.500,0.1,0.8,0.9,0.6,0.0,0.1,0.1,0.2,4.0
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7
Malaki Branham,PG,20,SAS,42,21,21.0,3.4,7.9,.433,1.0,3.1,.308,2.5,4.8,.515,.494,0.6,0.6,.926,0.3,1.7,2.0,2.3,0.4,0.1,1.2,1.3,8.4
Christian Braun,SG,22,DEN,45,0,19.1,2.7,6.0,.454,0.7,1.9,.365,2.0,4.1,.495,.511,1.2,1.7,.718,0.7,2.8,3.6,1.5,0.4,0.4,0.7,1.6,7.4
Mikal Bridges,SF,27,BRK,43,43,34.9,7.6,16.8,.455,2.3,6.2,.363,5.4,10.6,.509,.522,4.2,5.0,.839,0.9,4.3,5.2,3.8,0.9,0.5,2.3,1.6,21.7
Miles Bridges,SF,25,CHO,31,29,37.0,7.9,17.4,.455,2.3,6.5,.355,5.6,10.8,.516,.522,2.7,3.1,.866,0.8,6.4,7.1,2.9,1.1,0.5,2.0,2.0,20.8
Oshae Brissett,SF,25,BOS,26,0,12.1,1.4,3.1,.463,0.4,1.3,.303,1.0,1.8,.574,.525,1.0,1.5,.684,1.2,1.9,3.0,0.7,0.5,0.1,0.3,1.2,4.2
Malcolm Brogdon,PG,31,POR,35,21,28.0,5.5,12.7,.437,2.2,5.1,.422,3.4,7.5,.447,.523,2.4,2.9,.816,0.6,2.9,3.5,5.3,0.7,0.2,1.5,1.4,15.7
Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
Dillon Brooks,SF,28,HOU,34,34,31.5,5.0,10.9,.463,1.9,4.8,.396,3.1,6.0,.517,.551,1.8,2.1,.833,0.7,2.8,3.5,1.6,1.0,0.1,1.6,3.6,13.7
Bruce Brown,SG-PG,27,TOT,36,33,29.1,4.5,9.4,.481,1.0,3.0,.324,3.5,6.4,.555,.533,1.9,2.3,.821,0.8,3.9,4.6,2.9,1.0,0.3,1.3,2.5,11.9
Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1
Bruce Brown,PG,27,TOR,3,0,22.7,4.3,7.7,.565,0.7,2.3,.286,3.7,5.3,.688,.609,0.7,0.7,1.000,1.0,3.3,4.3,1.0,0.7,0.3,1.3,3.0,10.0
Charlie Brown Jr.,SG,26,NYK,3,0,1.7,0.3,1.3,.250,0.3,1.0,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0
Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
Jaylen Brown,SF,27,BOS,41,41,33.6,8.9,18.0,.493,2.1,6.0,.358,6.7,12.0,.561,.553,3.2,4.4,.718,0.9,4.3,5.2,3.6,1.1,0.6,2.5,2.6,23.1
Kendall Brown,SG,20,IND,3,0,5.7,0.7,1.7,.400,0.0,0.3,.000,0.7,1.3,.500,.400,1.3,2.0,.667,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,2.7
Kobe Brown,PF,24,LAC,26,0,9.7,0.8,2.2,.393,0.4,1.4,.306,0.4,0.8,.550,.491,0.0,0.1,.500,0.2,1.1,1.3,0.6,0.2,0.1,0.2,1.4,2.2
Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.4,.000,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0
Troy Brown Jr.,SF,24,MIN,34,3,11.6,1.5,3.3,.442,0.9,2.4,.370,0.6,0.9,.625,.575,0.6,0.6,.864,0.4,1.6,2.0,1.0,0.2,0.1,0.5,0.7,4.4
Jalen Brunson,PG,27,NYK,42,42,35.8,9.4,19.7,.475,2.8,6.7,.423,6.5,13.0,.502,.547,5.1,6.1,.832,0.6,3.3,3.9,6.5,1.0,0.2,2.4,2.1,26.6
Thomas Bryant,C,26,MIA,23,3,10.6,1.8,3.2,.562,0.0,0.1,.000,1.8,3.0,.586,.562,0.7,0.9,.850,1.0,2.1,3.1,0.6,0.3,0.2,0.7,1.1,4.3
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,17,0,9.3,0.8,2.1,.400,0.6,1.5,.385,0.2,0.5,.444,.543,0.1,0.1,1.000,0.1,1.3,1.4,0.5,0.1,0.1,0.2,0.5,2.3
Alec Burks,SG,32,DET,37,0,20.5,3.8,9.7,.391,2.4,5.9,.402,1.4,3.8,.374,.514,2.8,3.1,.895,0.4,1.9,2.3,1.5,0.4,0.2,0.7,1.5,12.7
Jared Butler,SG,23,WAS,17,0,7.5,1.6,2.9,.560,0.6,1.4,.417,1.1,1.5,.692,.660,0.7,0.9,.800,0.0,0.6,0.6,1.8,0.5,0.1,0.6,0.8,4.6
Jimmy Butler,PF,34,MIA,29,29,33.7,6.4,13.4,.481,0.8,2.1,.400,5.6,11.3,.495,.512,7.1,8.1,.881,1.9,3.0,5.0,4.4,1.1,0.3,1.8,1.1,20.9
Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,.439,0.6,1.8,.320,1.5,2.9,.512,.500,1.0,1.4,.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7
Kentavious Caldwell-Pope,SG,30,DEN,43,43,32.5,3.6,7.9,.456,1.5,3.8,.396,2.1,4.1,.511,.551,1.5,1.6,.900,0.5,1.9,2.4,2.4,1.5,0.5,1.0,1.9,10.2
Toumani Camara,PF,23,POR,43,29,24.3,2.5,6.1,.407,0.7,2.7,.281,1.7,3.5,.503,.468,1.0,1.4,.689,1.9,3.0,4.9,1.0,1.0,0.5,1.1,2.7,6.7
Clint Capela,C,29,ATL,42,42,25.9,4.6,8.2,.567,0.0,0.0,,4.6,8.2,.567,.567,1.9,2.9,.658,4.7,5.7,10.4,1.0,0.6,1.6,0.9,2.5,11.2
Jevon Carter,PG,28,CHI,43,0,14.1,2.0,5.5,.369,1.2,3.5,.344,0.8,2.0,.412,.479,0.1,0.1,.600,0.1,0.7,0.8,1.2,0.5,0.3,0.5,1.1,5.3
Wendell Carter Jr.,C,24,ORL,18,12,24.8,3.9,7.7,.507,1.1,2.6,.435,2.8,5.1,.543,.580,1.8,2.4,.744,1.8,4.8,6.7,1.6,0.5,0.5,1.2,2.1,10.7
Alex Caruso,SG,29,CHI,38,26,25.7,3.5,7.1,.491,1.8,4.3,.420,1.7,2.9,.596,.616,1.1,1.5,.768,1.0,2.6,3.5,2.6,1.3,0.9,1.3,2.4,9.9
Colin Castleton,C,23,LAL,5,0,6.4,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,.667,0.8,0.8,1.000,0.8,1.0,1.8,0.6,0.0,0.0,0.2,1.2,3.2
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,37,22,15.6,2.0,4.8,.412,1.4,3.6,.402,0.5,1.2,.444,.562,0.8,0.9,.882,0.4,1.8,2.2,1.0,0.6,0.5,0.7,1.1,6.2
Max Christie,SG,20,LAL,35,6,17.4,1.8,4.5,.404,0.7,2.2,.325,1.1,2.3,.481,.484,0.6,0.8,.786,0.3,2.5,2.7,1.1,0.4,0.3,0.8,1.3,4.9
Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2
Jordan Clarkson,SG,31,UTA,35,19,30.1,6.5,15.3,.421,1.8,5.7,.313,4.7,9.7,.484,.479,3.4,3.8,.887,1.1,2.6,3.7,5.0,0.7,0.1,2.9,1.3,18.1
Nic Claxton,C,24,BRK,33,33,29.3,5.4,8.4,.637,0.0,0.1,.500,5.3,8.4,.638,.638,1.6,2.8,.574,3.2,7.2,10.3,1.7,0.7,2.2,1.2,2.5,12.4
Noah Clowney,PF,19,BRK,2,0,13.5,3.0,4.5,.667,0.0,0.5,.000,3.0,4.0,.750,.667,1.0,1.0,1.000,1.5,1.0,2.5,1.0,0.0,0.0,0.5,1.5,7.0
Amir Coffey,SF,26,LAC,30,6,15.7,1.7,3.1,.559,0.7,1.6,.438,1.0,1.5,.689,.672,0.4,0.5,.813,0.4,1.2,1.6,0.6,0.3,0.0,0.4,1.1,4.6
John Collins,PF,26,UTA,41,39,27.5,5.3,10.6,.499,1.3,3.6,.356,4.0,6.9,.574,.560,2.0,2.4,.800,2.0,5.7,7.6,1.0,0.6,0.8,1.5,2.8,13.8
Zach Collins,C,26,SAS,35,24,25.5,4.7,9.8,.484,1.0,3.4,.300,3.7,6.4,.583,.536,1.9,2.5,.764,1.9,3.9,5.7,3.3,0.6,0.7,2.3,3.3,12.5
Mike Conley,PG,36,MIN,41,41,29.2,3.7,8.3,.445,2.3,5.3,.438,1.3,2.9,.458,.587,1.2,1.3,.923,0.4,2.4,2.8,6.4,1.0,0.2,1.1,1.7,10.9
Pat Connaughton,SF,31,MIL,38,0,21.3,1.9,4.4,.443,1.2,3.2,.375,0.8,1.2,.617,.578,0.4,0.5,.737,0.6,2.6,3.2,1.7,0.4,0.2,0.5,1.2,5.4
Bilal Coulibaly,SF,19,WAS,42,1,26.2,3.0,6.5,.469,1.0,2.6,.387,2.0,3.8,.525,.548,1.1,1.8,.649,0.8,3.3,4.1,1.8,0.8,0.8,1.4,2.1,8.2
Ricky Council IV,SG,22,PHI,4,0,2.3,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.3,0.5,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3
Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5
Torrey Craig,SF,33,CHI,27,7,21.2,2.2,5.1,.424,1.1,2.8,.382,1.1,2.3,.476,.529,0.7,0.9,.783,1.9,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1
Jae Crowder,PF,33,MIL,13,2,23.3,2.5,5.5,.465,1.7,3.8,.449,0.8,1.7,.500,.620,0.6,1.1,.571,0.4,2.9,3.3,1.3,0.7,0.2,0.6,1.5,7.4
Cade Cunningham,PG,22,DET,36,36,34.5,8.5,19.0,.449,1.9,5.6,.335,6.7,13.4,.496,.498,3.9,4.5,.870,0.4,3.6,4.1,7.3,1.0,0.3,3.8,2.8,22.8
Seth Curry,SG,33,DAL,33,3,12.8,1.5,4.0,.364,0.8,2.2,.378,0.6,1.8,.345,.470,0.4,0.5,.875,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.2
Stephen Curry,PG,35,GSW,38,38,33.2,8.4,18.9,.446,4.5,11.3,.401,3.9,7.6,.512,.565,5.3,5.7,.926,0.4,3.7,4.2,5.0,0.8,0.4,3.0,1.9,26.7
Dyson Daniels,PG,20,NOP,44,14,22.2,2.2,5.1,.425,0.6,2.2,.276,1.6,2.9,.539,.485,0.7,1.1,.646,1.0,2.8,3.8,2.7,1.3,0.3,0.9,1.7,5.7
Anthony Davis,C,30,LAL,43,43,35.9,9.4,16.9,.558,0.3,1.1,.304,9.1,15.8,.576,.568,5.7,7.0,.815,3.2,9.0,12.2,3.7,1.2,2.4,2.2,2.5,25.0
Johnny Davis,SG,21,WAS,19,0,7.9,1.1,2.5,.438,0.1,0.2,.333,1.1,2.4,.444,.448,0.2,0.3,.800,0.5,0.6,1.1,0.3,0.4,0.1,0.3,0.6,2.5
JD Davison,SG,21,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5
DeMar DeRozan,SF,34,CHI,43,43,37.1,7.7,16.7,.461,1.0,2.9,.339,6.7,13.8,.487,.490,5.5,6.6,.844,0.6,3.5,4.0,5.3,1.1,0.7,1.4,2.2,21.9
Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.9,1.2,.750,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7
